No,Name,Location,Map,Contact,Type,Category,Website,Services Offered,Operating Hours,Target Group,NSSF Supported
66,Anlongkgan Health Center,Sen Sok,N/A,017 866 002,Hospital,General,View Web,General healthcare,Open 24/7,All ages,Yes
67,Kamboul Health Center,Por Senchey,View Map,012 281 914 /015 823 125 ,Hospital,General,View Web,General healthcare,Open 24/7,All ages,Yes
68,Spean Thmor Health Center,Daun Penh,View Map, 081 438 181 /017 273 437,Hospital,General,View Web,General healthcare,Open 24/7,All ages,Yes
69,Boeng Thom Health center,Por Senchey,View Map,017 583 598 /089 637 865,Hospital,General,View Web,General healthcare,Open 24/7,All ages,Yes
70,Sak Sampov Health Center,Daun Penh,View Map, 086 818 386 /017 432 136,Hospital,General,View Web,General healthcare,Open 24/7,All ages,Yes
71,Samaky Health Center,Por Senchey,View Map,011 214 297 /012 585 192,Hospital,General,View Web,General healthcare,Open 24/7,All ages,Yes
72,Snor Health Center,Por Senchey,View Map,015 897 670 /012 406 043,Hospital,General,View Web,General healthcare,Open 24/7,All ages,Yes
73,Samraongkrom Health Center,Por Senchey,View Map,093 749 477 /017 328 481,Hospital,General,View Web,General healthcare,Open 24/7,All ages,Yes
74,Ovlaok Health Center,Por Senchey,View Map,017 588 388 /017 961 733,Hospital,General,View Web,General healthcare,Open 24/7,All ages,Yes
75,Kbal Koah Health Center,Chbar Ampov,View Map,012 277 909 /081 650​​ 086,Hospital,General,View Web,General healthcare,Open 24/7,All ages,Yes
76,Chak Angre Health Center,Mean Chey,View Map,092 923 766 /017 910 745,Hospital,General,N/A,General healthcare,Open 24/7,All ages,Yes
77,Chbor Ampoeu Health Center,Chbar Ampov,View Map,012 852 233 /012 850 855,Hospital,General,View Web,General healthcare,Open 24/7,All ages,Yes
78,Niroth Health Center,Chbar Ampov,View Map,012 211 651 /011 269 352,Hospital,General,View Web,General healthcare,Open 24/7,All ages,Yes
79,Sak Sampov Health Center,Dangkor,View Map,086 818 386 /017 432 136,Hospital,General,View Web,General healthcare,Open 24/7,All ages,Yes
80,Prey Sor Health Center,Dangkor,View Map, 078 789 822,Hospital,General,View Web,General healthcare,Open 24/7,All ages,Yes
81,Prey Veng Health Center,Dangkor,View Map, 097 696 8990,Hospital,General,View Web,General healthcare,Open 24/7,All ages,Yes
82,Prek Kampues Health Center,Dangkor,View Map, 089 770 778 /078 200 286,Hospital,General,View Web,General healthcare,Open 24/7,All ages,Yes
83,Porng Toeuk Health Center,Dangkor,View Map,096 773 2518,Hospital,General,View Web,General healthcare,Open 24/7,All ages,Yes
84,Pralaplang Health Center,Dangkor,View Map,096 624 0251 /012 363​ 493,Hospital,General,View Web,General healthcare,Open 24/7,All ages,Yes
